,Plot_ID,AOS_year,AOS_pest,AOS_severity,Burn_status,dNBR_count,dNBR_mean,dNBR_median,dNBR_min,dNBR_max,dNBR_range,Fire_ID,Fire_Name,CBI_A,CBI_B,CBI_C,CBC_D,CBI_US,CBI_OS,CBI_TOT,Elevation,Aspect,Slope_.,UTM_Zone,Sam_SPEC_CD_1,Sam_SPEC_PCT_1,Sam_SPEC_CD_2,Sam_SPEC_PCT_2,Sam_SPEC_CD_3,Sam_SPEC_PCT_3,satellite,PLI_PC,SX_PC,BL_PC,FDI_PC,SB_PC,SE_PC,AT_PC,ACT_PC,conifer_PC,broadleaf_PC,CBI_dNBR_VRI_March2021_csv_new_test,CBI_dNBR_VRI_March2021_csv_AOS_YEAR,CBI_dNBR_VRI_March2021_csv_AOS_FHF,CBI_dNBR_VRI_March2021_csv_AOS_SEV,BUFF_DIST,FEATURE_ID,MAP_ID,POLYGON_ID,OPENING_IND,POLYGON_AREA,SURFACE_EXPRESSION,MODIFYING_PROCESS,SITE_POSITION_MESO,SOIL_NUTRIENT_REGIME,BCLCS_LEVEL_2,BCLCS_LEVEL_3,BCLCS_LEVEL_4,BCLCS_LEVEL_5,REFERENCE_YEAR,ATTRIBUTION_BASE_DATE,PROJECTED_DATE,SHRUB_HEIGHT,SHRUB_CROWN_CLOSURE,SHRUB_COVER_PATTERN,HERB_COVER_TYPE,HERB_COVER_PATTERN,HERB_COVER_PCT,BRYOID_COVER_PCT,NON_VEG_COVER_PATTERN_1,NON_VEG_COVER_PCT_1,NON_VEG_COVER_TYPE_1,NON_VEG_COVER_PATTERN_2,NON_VEG_COVER_PCT_2,NON_VEG_COVER_TYPE_2,NON_VEG_COVER_PATTERN_3,NON_VEG_COVER_PCT_3,NON_VEG_COVER_TYPE_3,NON_VEG_COVER_SUM,LAND_COVER_CLASS_CD_1,EST_COVERAGE_PCT_1,SOIL_MOISTURE_REGIME_1,LAND_COVER_CLASS_CD_2,EST_COVERAGE_PCT_2,SOIL_MOISTURE_REGIME_2,LAND_COVER_CLASS_CD_3,EST_COVERAGE_PCT_3,SOIL_MOISTURE_REGIME_3,ORG_UNIT_CODE,BEC_ZONE_CODE,BEC_SUBZONE,BEC_VARIANT,BEC_PHASE,EARLIEST_NONLOGGING_DIST_TYPE,EARLIEST_NONLOGGING_DIST_DATE,STAND_PERCENTAGE_DEAD,FREE_TO_GROW_IND,HARVEST_DATE,QUAD_DIAM_125,EST_SITE_INDEX_SPECIES_CD,EST_SITE_INDEX,CROWN_CLOSURE,CROWN_CLOSURE_CLASS_CD,SITE_INDEX,BASAL_AREA,VRI_LIVE_STEMS_PER_HA,VRI_DEAD_STEMS_PER_HA,TREE_COVER_PATTERN,VERTICAL_COMPLEXITY,SPECIES_CD_1,SPECIES_PCT_1,SPECIES_CD_2,SPECIES_PCT_2,SPECIES_CD_3,SPECIES_PCT_3,SPECIES_CD_4,SPECIES_PCT_4,SPECIES_CD_5,SPECIES_PCT_5,SPECIES_CD_6,SPECIES_PCT_6,PROJ_AGE_1,PROJ_AGE_CLASS_CD_1,PROJ_AGE_2,PROJ_AGE_CLASS_CD_2,PROJ_HEIGHT_1,PROJ_HEIGHT_CLASS_CD_1,PROJ_HEIGHT_2,PROJ_HEIGHT_CLASS_CD_2,LIVE_VOL_PER_HA_SPP1_125,LIVE_VOL_PER_HA_SPP2_125,LIVE_VOL_PER_HA_SPP3_125,LIVE_VOL_PER_HA_SPP4_125,LIVE_STAND_VOLUME_125,DEAD_STAND_VOLUME_125,WHOLE_STEM_BIOMASS_PER_HA,BRANCH_BIOMASS_PER_HA,FOLIAGE_BIOMASS_PER_HA,BARK_BIOMASS_PER_HA,UTM_E,UTM_N,OPENING_ID,OPENING_ST,APPROVE_DA,DISTURBANC,DISTURBA_1,DENUDATION,DENUDATI_1,DENUDATI_2,DENUDATI_3,DENUDATI_4,DENUDATI_5,DENUDATI_6,DENUDATI_7,DENUDATI_8,DENUDATI_9,DENUDAT_10,SITE_PREP_,SITE_PREP1,SITE_PRE_1,SITE_PRE_2,SITE_PRE_3,SITE_PRE_4,SITE_PRE_5,PLANTING_1,PLANTING_2,PLANTING_3,PLANTING_4,PLANTING_5,PLANTING_6,PLANTING_C,BRUSHING_T,BRUSHING_1,BRUSHING_C,BRUSHING_2,SPACING_TR,SPACING_CO,SPACING__1,FERTILIZAT,FERTILIZ_1,FERTILIZ_2,PRUNING_TR,PRUNING_CO,PRUNING__1,SLOPE,ASPECT,coords.x1,coords.x2,Field_Date,LFH_cov,Moss_cov,Soil_Rock_cov,Fuelbed_cov,herb_cov,shrub_cov,tree_cov,CBI_D,DOB_average,CWD_Pattern,broadcast_burned,disc_trenched,mounded,brushed,spaced,Lv_Pli_BA,Dd_Pli_BA,Lv_Sx_BA,Dd_Sx_BA,Lv_Bl_BA,Dd_Bl_BA,Lv_At_BA,Dd_At_BA,Lv_Ac_BA,Dd_Ac_BA,Lv_W_BA,Dd_W_BA,Lv_oth_BA,Dd_oth_BA,Prism_BA,CanopyBaseHt,PCQ_density,inside_study,OPENING_IN,OPENING_SO,OPENING_NU,OPENING_ID.x,CROWN_CLOS,CROWN_CL_1,FREE_TO_GR,HARVEST_DA,PROJ_AGE_C,PROJ_AGE_3,PROJ_HEIGH,PROJ_HEI_1,PROJ_HEI_2,PROJ_HEI_3,SPECIES_CD,SPECIES_PC,SPECIES__1,SPECIES__2,SPECIES__3,SPECIES__4,SPECIES__5,SPECIES__6,SPECIES__7,SPECIES__8,SPECIES__9,SPECIES_10,OPENING_ID.y,dNBR_C10784,dNBR_C10970,dNBR_C11837,dNBR_C11937,dNBR_C12594,dNBR_C20279,dNBR_C20735,dNBR_C50647,dNBR_C50744,dNBR_G41607,dNBR_G51632,dNBR_K20637,dNBR_R11498,dNBR_R11796,dNBR_R11921,dNBR_R12068,dNBR_R21721,dNBR_R91947,dNBR_VA1787,dNBR_VA1964
1,BS001,2006,IBM,M,Unburned,7,0.095753964,0.096279353,0.035731971,0.171365499,0.135633528,R21721,Nadina,1.1,2,2.25,1.8,1.73,1.8,1.75,808,320,5,9,PLI,100,,0,,0,Sentinel 2,100,0,0,0,0,0,0,0,100,0,100,2006,IBM,M,30,13590245,093L007,20370681,N,87.3,U,N,F,C,T,U,TC,OP,2014,2015-02-02,2016-01-01,0.5,10,3,HE,3,10,20,NA,NA,,NA,NA,,NA,NA,,0,TC,100,3,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,IBM,2007-01-01,43,N,NA,19.025,,NA,40,4,14.6,20.13275,787,600,8,2,PLI,100,,NA,,NA,,NA,NA,NA,NA,NA,85,5,NA,NA,18.6,2,NA,NA,110.051,NA,NA,NA,110.051,78.44,61.395,6.781,6.026,6.101,652128,5990283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955776.322,1004099.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,BS002,2006,IBM,M,Medium,7,0.575008052,0.578588724,0.458966315,0.739162982,0.280196667,R21721,Nadina,2.8,2.88,2.88,2.8,2.85,2.8,2.83,892,200,15,9,SX,90,BL,10,,0,Sentinel 2,0,90,10,0,0,0,0,0,100,0,100,2006,IBM,M,30,10863225,9.30E+99,24576630,N,27.7,N,N,M,C,N,U,SL,OP,2013,2015-03-02,2016-01-01,1,40,8,HE,8,40,5,1,5,BR,NA,NA,,NA,NA,,5,SL,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,IBM,2007-01-01,NA,N,NA,NA,,NA,NA,NA,NA,NA,NA,100,NA,NA,,NA,,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.457,NA,NA,NA,NA,652429,5983385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955784.4678,997175.6501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,BS003,2006,IBM,M,High,7,0.682409704,0.667988479,0.624125779,0.736817837,0.112692058,R21721,Nadina,1.4,2.38,NA,1.7,1.83,1.7,1.79,764,290,5,9,SX,50,AT,30,ACT,20,Sentinel 2,0,50,0,0,0,0,30,20,50,50,100,2006,IBM,M,30,10812441,093L007,30309399,N,28.9,N,B,M,D,T,U,TM,OP,2013,2015-02-13,2016-01-01,2.5,10,3,HE,8,50,NA,2,2,RZ,2,2,RI,3,1,RS,5,TM,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,N,NA,24.841,,NA,30,3,16.1,20.897541,401,20,8,3,SX,50,AT,30,ACT,20,,NA,NA,NA,NA,NA,83,5,83,5,20.7,3,22.4,3,65.602,35.643,17.911,NA,119.156,NA,67.544,13.314,4.239,10.566,653316,5988695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956892.975,1002458.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,BS004,NA,,,unburned,7,-0.047960486,-0.045689583,-0.062642992,-0.037883997,0.024758995,R21721,Nadina,0,0,0,0,0,0,0,818,280,3,9,PLI,95,AT,5,,0,Sentinel 2,95,0,0,0,0,0,5,0,95,5,100,NA,,,30,10812545,093L007,29450655,N,33.7,N,N,M,D,T,U,TC,DE,2013,2015-02-12,2016-01-01,1,5,3,HE,3,5,5,2,5,RZ,NA,NA,,NA,NA,,5,TC,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,Y,1978-01-01,13.783,PLI,20,70,7,20,17.03797,2161,0,8,2,PLI,95,AT,5,,NA,,NA,NA,NA,NA,NA,32,2,36,2,12.8,2,13.9,2,14.621,1.175,NA,NA,15.796,NA,38.398,4.382,3.623,4.092,653099,5990228,-514070000,FG,1978-01-01,1978-01-01,1980-01-01,L,CLEAR,NA,NA,1980-01-01,NA,NA,NA,NA,NA,1,ME,29,1982-09-01,NA,0,NA,1,PL,30,1980-06-01,PL,28,1983-05-01,2,MA,28,1992-08-01,1,0,NA,0,0,NA,0,0,NA,0,10,245.3,956741.5971,1004003.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,BS005,2006,IBM,M,High,7,0.772828358,0.779921055,0.720466077,0.811429143,0.090963066,R21721,Verdun,2.13,2.63,2.63,2,2.46,2,2.32,922.170959,288,10,9,AT,85,SX,15,,0,Sentinel 2,0,15,0,0,0,0,85,0,15,85,100,2006,IBM,M,30,13391022,093F081,9768946,N,14.8,N,N,M,C,T,U,TB,SP,2012,2016-02-15,2016-01-01,0.5,30,3,HE,3,20,NA,2,5,RZ,NA,NA,,NA,NA,,5,TB,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,N,NA,21.53,,NA,25,2,14.6,17.634991,486,0,8,3,AT,85,SX,15,,NA,,NA,NA,NA,NA,NA,104,6,104,6,21.4,3,23.7,3,57.817,19.979,NA,NA,77.796,NA,61.129,10.711,2.751,12.454,307235,5972207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,611261.5321,1000559.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,BS006,2006,IBM,M,High,7,0.504905586,0.543345928,0.182558298,0.806727111,0.624168813,R21721,Nadina,3,2.63,3,2.8,2.88,2.8,2.86,940.057861,24,20,9,BL,85,SX,10,PLI,5,Sentinel 2,5,10,85,0,0,0,0,0,100,0,100,2006,IBM,M,30,13197782,9.30E+90,86308691,N,18,N,N,M,C,T,U,TC,DE,2012,2015-07-07,2016-01-01,1,3,3,HE,3,3,NA,2,1,RZ,NA,NA,,NA,NA,,1,TC,100,4,,NA,NA,NA,NA,NA,DND,SBS,mc,2,NA,,NA,NA,N,NA,22.249,,NA,70,7,17.9,45.411144,1499,90,9,3,BL,85,SX,10,PLI,5,,NA,NA,NA,NA,NA,69,4,69,4,20.1,3,20.2,3,182.622,28.419,16.346,NA,227.387,NA,112.74,26.262,23.115,14.879,663706,5970557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966479.9316,983845.1706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,BS007,2006,IBM,M,High,6,0.631326978,0.699744374,0.288379103,0.919511557,0.631132454,R21721,Nadina,2.8,2.5,2.63,2.8,2.65,2.8,2.69,922.572144,160,10,9,BL,60,SX,30,AT,7,Sentinel 2,3,30,60,0,0,0,7,0,93,7,100,2006,IBM,M,30,13935947,9.30E+90,69757951,N,24.4,N,N,U,C,T,U,TC,OP,2012,2015-09-30,2016-01-01,1,5,3,HF,3,5,NA,2,2,RZ,NA,NA,,NA,NA,,2,TC,100,3,,NA,NA,NA,NA,NA,DND,SBS,mc,2,NA,,NA,NA,N,NA,21.064,,NA,60,6,14.6,36.684002,1270,50,8,3,BL,60,SX,30,AT,7,PLI,3,NA,NA,NA,NA,84,5,84,5,19.3,2,19.9,3,104.841,63.956,9.949,7.77,186.516,NA,95.484,21.161,16.272,12.837,661374,5969340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,964104.7198,982724.6963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,BS008,2007,IBM,L,High,7,0.920689949,0.894009769,0.757249415,1.106468916,0.349219501,R21721,Nadina,2.3,2.38,2.75,2.2,2.46,2.2,2.39,912.448364,flat,0,9,PLI,90,SX,5,AT,5,Sentinel 2,90,5,0,0,0,0,5,0,95,5,100,2007,IBM,L,30,13368864,9.30E+100,84064923,Y,8.6,N,N,M,C,T,U,TC,OP,2012,2015-11-25,2016-01-01,0.3,10,3,HE,3,5,NA,2,2,RZ,NA,NA,,NA,NA,,2,TC,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,Y,1986-07-01,14.511,PLI,22,35,3,22,23.020769,2535,0,9,1,PLI,90,SX,5,AT,5,,NA,NA,NA,NA,NA,29,2,29,2,13.4,2,8.5,1,30.911,0,0.887,NA,31.798,NA,50.655,5.846,4.825,5.339,662858,5981044,-500840000,FG,1986-07-01,1986-07-01,1986-10-01,L,CLEAR,NA,NA,1986-10-01,NA,NA,NA,NA,NA,1,ME,2,1986-10-01,ME,4,1986-10-01,3,PL,7,1987-06-01,FP,8,1991-05-01,2,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,3.6,69.1,966077.9268,994387.8268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,BS009,2012,ID6,M,Unburned,7,0.045021066,0.043489397,0.024102211,0.077392161,0.05328995,R21721,Nadina,0,0,0,0,0,0,0,790.169617,50,5,9,PLI,90,AT,10,,0,Sentinel 2,90,0,0,0,0,0,10,0,90,10,100,2012,ID6,M,30,10812367,093L007,4721063,N,23.8,U,N,M,D,T,U,TC,OP,2013,2015-02-11,2016-01-01,1,5,3,HE,8,20,10,2,2,RZ,1,1,LL,NA,NA,,3,TC,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,Y,1991-01-01,NA,PLI,19,50,5,19,10,2000,0,8,2,PLI,90,AT,10,,NA,,NA,NA,NA,NA,NA,21,2,21,2,7.4,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649066,5991011,35029,FG,1991-02-25,1991-06-01,1994-01-01,L,CLEAR,NA,REMOV,1994-01-01,NA,NA,NA,NA,NA,1,ME,21.8,1994-07-01,NA,0,NA,1,PL,21.8,1995-05-30,NA,0,NA,1,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,2.2,57.3,952755.8233,1004959.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,BS009,2012,ID6,M,Unburned,7,0.045021066,0.043489397,0.024102211,0.077392161,0.05328995,R21721,Nadina,0,0,0,0,0,0,0,790.169617,50,5,9,PLI,90,AT,10,,0,Sentinel 2,90,0,0,0,0,0,10,0,90,10,100,2012,ID6,M,30,10812367,093L007,4721063,N,23.8,U,N,M,D,T,U,TC,OP,2013,2015-02-11,2016-01-01,1,5,3,HE,8,20,10,2,2,RZ,1,1,LL,NA,NA,,3,TC,100,4,,NA,NA,NA,NA,NA,DND,SBS,dk,NA,NA,,NA,NA,Y,1991-01-01,NA,PLI,19,50,5,19,10,2000,0,8,2,PLI,90,AT,10,,NA,,NA,NA,NA,NA,NA,21,2,21,2,7.4,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,649066,5991011,1727276,FG,2019-09-16,2018-07-31,2018-09-01,B,NA,NA,NA,2018-09-01,NA,NA,NA,NA,NA,1,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,NA,0,4.1,28.4,952755.8233,1004959.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
